eng	ja
Renal function-related traits (urea)	Renal function-related traits (urea)
Renal sinus fat 	Renal sinus fat
Resistin levels 	Resistin levels
Response to TNF antagonist treatment	Response to TNF antagonist treatment
Response to TNF-alpha inhibitors in rheumatoid arthritis	Response to TNF-alpha inhibitors in rheumatoid arthritis
Response to Vitamin E supplementation	Response to Vitamin E supplementation
Response to acetaminophen (hepatotoxicity)	Response to acetaminophen (hepatotoxicity)
Response to amphetamines	Response to amphetamines
Response to angiotensin II receptor blocker therapy	Response to angiotensin II receptor blocker therapy
Response to angiotensin II receptor blocker therapy (opposite direction w/ diuretic therapy)	Response to angiotensin II receptor blocker therapy (opposite direction w/ diuretic therapy)
Response to antidepressant treatment	Response to antidepressant treatment
Response to antidepressants	Response to antidepressants
Response to antineoplastic agents	Response to antineoplastic agents
Response to antipsychotic therapy (extrapyramidal side effects)	Response to antipsychotic therapy (extrapyramidal side effects)
Response to antipsychotic treatment	Response to antipsychotic treatment
Response to cerivastatin	Response to cerivastatin
Response to citalopram treatment	Response to citalopram treatment
Response to clopidogrel therapy	Response to clopidogrel therapy
Response to diuretic therapy	Response to diuretic therapy
Response to fenofibrate	Response to fenofibrate
Response to gemcitabine in pancreatic cancer 	Response to gemcitabine in pancreatic cancer
Response to hepatitis C treatment	Response to hepatitis C treatment
Response to iloperidone treatment (PANSS-T score)	Response to iloperidone treatment (PANSS-T score)
Response to iloperidone treatment (QT prolongation)	Response to iloperidone treatment (QT prolongation)
Response to interferon beta therapy	Response to interferon beta therapy
Response to irinotecan in non-small-cell lung cancer	Response to irinotecan in non-small-cell lung cancer
Response to lithium treatment in bipolar disorder	Response to lithium treatment in bipolar disorder
Response to metformin	Response to metformin
Response to methylphenidate treatment	Response to methylphenidate treatment
Response to platinum-based agents	Response to platinum-based agents
Response to platinum-based chemotherapy in non-small-cell lung cancer	Response to platinum-based chemotherapy in non-small-cell lung cancer
Response to platinum-based chemotherapy in small cell and non-small cell lung cancers	Response to platinum-based chemotherapy in small cell and non-small cell lung cancers
Response to platinum-based chemotherapy in small-cell lung cancer	Response to platinum-based chemotherapy in small-cell lung cancer
Response to statin therapy	Response to statin therapy
Response to statin therapy (LDL-C)	Response to statin therapy (LDL-C)
Response to tamoxifen in breast cancer	Response to tamoxifen in breast cancer
Response to taxane treatment (docetaxel)	Response to taxane treatment (docetaxel)
Response to taxane treatment (placlitaxel)	Response to taxane treatment (placlitaxel)
Response to tocilizumab in rheumatoid arthritis	Response to tocilizumab in rheumatoid arthritis
Response to treatment for acute lymphoblastic leukemia	Response to treatment for acute lymphoblastic leukemia
Response to ximelagatran treatment	Response to ximelagatran treatment
Resting heart rate	Resting heart rate
Restless legs syndrome	レストレスレッグ症候群
Retinal vascular caliber	Retinal vascular caliber
Retinol levels	Retinol levels
Rheumatoid arthritis	多発性リウマチ性関節炎
Ribavirin-induced anemia	Ribavirin-induced anemia
Sarcoidosis	皮膚サルコイドーシス
Schizophrenia	小児発症統合失調症
Schizophrenia (treatment refractory) 	Schizophrenia (treatment refractory)
Schizophrenia, bipolar disorder and depression (combined)	Schizophrenia, bipolar disorder and depression (combined)
Sclerosing cholangitis and ulcerative colitis (combined)	Sclerosing cholangitis and ulcerative colitis (combined)
Scoliosis	機能性側弯(症)
Select biomarker traits	Select biomarker traits
Self-rated health	Self-rated health
Serologic markers in systemic lupus erythematosus	Serologic markers in systemic lupus erythematosus
Sex hormone-binding globulin levels	Sex hormone-binding globulin levels
Sex ratio at birth	Sex ratio at birth
Sexual dysfunction (SSRI/SNRI-related)	Sexual dysfunction (SSRI/SNRI-related)
Sexual dysfunction (female)	Sexual dysfunction (female)
Sick sinus syndrome	洞結節機能不全症候群
Sickle cell anemia (severity)	Sickle cell anemia (severity)
Skin pigmentation	皮膚色素沈着
Skin sensitivity to sun	Skin sensitivity to sun
Sleep duration	Sleep duration
Sleepiness	日中の過剰な眠気
Small-cell lung cancer	転移性肺非小細胞癌
Smoking behavior	Smoking behavior
Smoking cessation	禁煙療法
Social and Non-Social Autistic-Like Traits	Social and Non-Social Autistic-Like Traits
Soluble E-selectin levels	Soluble E-selectin levels
Soluble ICAM-1	Soluble ICAM-1
Soluble leptin receptor levels	Soluble leptin receptor levels
Soluble levels of adhesion molecules	Soluble levels of adhesion molecules
Speech perception in dyslexia	Speech perception in dyslexia
Sphingolipid levels	Sphingolipid levels
Spine bone size	Spine bone size
Stevens-Johnson syndrome	皮膚粘膜眼症候群
Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)
Stroke	上昇行程
Stroke (ischemic)	Stroke (ischemic)
Stroke (pediatric)	Stroke (pediatric)
Subarachnoid aneurysmal hemorrhage	Subarachnoid aneurysmal hemorrhage
Subclinical atherosclerosis traits (other)	Subclinical atherosclerosis traits (other)
Subclinical brain infarct	Subclinical brain infarct
Subcutaneous adipose tissue	皮下脂肪
Substance dependence	物質依存症
Sudden cardiac arrest	心突然死
Suicidal ideation	希死念慮
Suicide attempts in bipolar disorder	Suicide attempts in bipolar disorder
Systemic lupus erythematosus	全身性紅斑性狼瘡
Systemic sclerosis	全身性強皮症
Systolic blood pressure	最高血圧
T-tau	T-tau
TP53 carriage	TP53 carriage
Tanning	日焼け
Tardive dyskinesia 	Tardive dyskinesia
Telomere length	テロメア長
Temperament	気質
Temperament (bipolar disorder)	Temperament (bipolar disorder)
Testicular cancer	睾丸がん
Testicular dysgenesis syndrome 	Testicular dysgenesis syndrome
Testicular germ cell cancer	精巣胚細胞性癌
Testicular germ cell tumor	Testicular germ cell tumor
Testosterone levels	Testosterone levels
Thoracic aortic aneurysms and dissections	Thoracic aortic aneurysms and dissections
Thyroid cancer	転移性甲状腺癌
Thyroid function	甲状腺機能検査
Thyroid stimulating hormone	甲状腺刺激ホルモン
Thyroid volume	Thyroid volume
Thyrotoxic hypokalemic periodic paralysis	Thyrotoxic hypokalemic periodic paralysis
Tonometry	眼圧測定(法)
Total ventricular volume	Total ventricular volume
Tourette syndrome	Tourette症候群
Treatment response for severe sepsis 	Treatment response for severe sepsis
Triglycerides	Triglycerides
Triglycerides-Blood Pressure (TG-BP)	Triglycerides-Blood Pressure (TG-BP)
Tuberculosis	副腎結核
Two-hour glucose challenge	Two-hour glucose challenge
Type 1 diabetes	1型糖尿病合併妊娠
Type 1 diabetes autoantibodies	Type 1 diabetes autoantibodies
Type 1 diabetes nephropathy	Type 1 diabetes nephropathy
Type 2 diabetes	II型糖尿病
Type 2 diabetes and 6 quantitative traits	Type 2 diabetes and 6 quantitative traits
Type 2 diabetes and gout	Type 2 diabetes and gout
Type 2 diabetes and other traits	Type 2 diabetes and other traits
Type 2 diabetes nephropathy	Type 2 diabetes nephropathy
Ulcerative colitis	潰瘍性大腸炎
Upper aerodigestive tract cancers	Upper aerodigestive tract cancers
Urate levels	Urate levels
Uric acid levels	Uric acid levels
Urinary albumin excretion	尿中アルブミン排泄
Urinary bladder cancer	膀胱がん
Urinary metabolites	Urinary metabolites
Uterine fibroids	Uterine fibroids
Vaccine-related adverse events 	Vaccine-related adverse events
Vascular dementia	脳血管性痴呆
Vascular endothelial growth factor levels	Vascular endothelial growth factor levels
Vaspin levels	Vaspin levels
Venous thromboembolism	静脈血栓塞栓
Ventricular conduction	心室内伝導障害
Ventricular fibrillation	再発心室細動
Vertical cup-disc ratio	Vertical cup-disc ratio
Visceral adipose tissue adjusted for BMI	Visceral adipose tissue adjusted for BMI
Visceral adipose tissue/subcutaneous adipose tissue ratio	Visceral adipose tissue/subcutaneous adipose tissue ratio
Visceral fat	内臓脂肪型肥満
Vitamin B12 levels	Vitamin B12 levels
Vitamin D insufficiency	Vitamin D insufficiency
Vitamin D levels	Vitamin D levels
Vitamin E levels	Vitamin E levels
Vitiligo	尋常性白斑
Volumetric brain MRI	Volumetric brain MRI
Waist Circumference - Triglycerides (WC-TG)	Waist Circumference - Triglycerides (WC-TG)
Waist circumference	胴囲
Waist circumference and related phenotypes	Waist circumference and related phenotypes
Waist-hip ratio	ウエスト・ヒップ比
Warfarin maintenance dose	Warfarin maintenance dose
Weight	拡散強調画像
White blood cell count	総白血球数
White blood cell types	White blood cell types
White matter hyperintensity burden	White matter hyperintensity burden
White matter integrity	White matter integrity
Wilms tumor	ウィルムス腫瘍
Working memory	ワーキングメモリー
Wrist bone mass	Wrist bone mass
YKL-40 levels	YKL-40 levels
vWF and FVIII levels	vWF and FVIII levels
